Transaction_ID,Order_Date,Region,Category,Quantity,Unit_Price,Shipping_Cost
TXN-100000,01/01/2025 00:00,East,Office Supplies,19,320.01,16.99
TXN-100001,01/01/2025 01:00,West,Office Supplies,8,418.2,23.19
TXN-100002,01/01/2025 02:00,North,Office Supplies,7,178.6,36.58
TXN-100003,01/01/2025 03:00,East,Office Supplies,16,120.47,6.75
TXN-100004,01/01/2025 04:00,East,Industrial Machinery,19,256.59,48.07
TXN-100005,01/01/2025 05:00,West,Office Supplies,6,361.44,7.08
TXN-100006,01/01/2025 06:00,North,Electronics,11,17.14,44.66
TXN-100007,01/01/2025 07:00,North,Office Supplies,5,289.83,45.25
TXN-100008,01/01/2025 08:00,East,Industrial Machinery,16,274.69,28.6
TXN-100009,01/01/2025 09:00,South,Office Supplies,7,153.74,11.16
TXN-100010,01/01/2025 10:00,East,Electronics,5,211.64,30.43
TXN-100011,01/01/2025 11:00,East,Industrial Machinery,11,122.81,33.29
TXN-100012,01/01/2025 12:00,East,Industrial Machinery,15,358.71,43.6
TXN-100013,01/01/2025 13:00,East,Electronics,3,291.21,29.79
TXN-100014,01/01/2025 14:00,West,Electronics,5,246.96,23.48
TXN-100015,01/01/2025 15:00,North,Electronics,5,186.05,42.72
TXN-100016,01/01/2025 16:00,West,Electronics,9,142.11,49.14
TXN-100017,01/01/2025 17:00,West,Electronics,15,372.98,34.03
TXN-100018,01/01/2025 18:00,West,Industrial Machinery,3,211.64,44.35
TXN-100019,01/01/2025 19:00,East,Industrial Machinery,6,233.38,31.94
TXN-100020,01/01/2025 20:00,South,Office Supplies,17,241.8,36.04
TXN-100021,01/01/2025 21:00,North,Office Supplies,8,210.32,35.97
TXN-100022,01/01/2025 22:00,South,Home Appliances,11,126.77,36.72
TXN-100023,01/01/2025 23:00,West,Office Supplies,6,67.79,19.45
TXN-100024,02/01/2025 00:00,West,Office Supplies,8,58.31,30.9
TXN-100025,02/01/2025 01:00,South,Electronics,10,344.62,31.74
TXN-100026,02/01/2025 02:00,South,Electronics,3,112.62,19.18
TXN-100027,02/01/2025 03:00,South,Office Supplies,14,39.69,20.74
TXN-100028,02/01/2025 04:00,West,Home Appliances,14,362.02,39.3
TXN-100029,02/01/2025 05:00,West,Electronics,10,82.44,31.22
TXN-100030,02/01/2025 06:00,North,Office Supplies,12,287.13,11.71
TXN-100031,02/01/2025 07:00,North,Office Supplies,6,162.64,42.69
TXN-100032,02/01/2025 08:00,West,Industrial Machinery,12,70.46,44.74
TXN-100033,02/01/2025 09:00,South,Home Appliances,14,195.59,25.98
TXN-100034,02/01/2025 10:00,South,Industrial Machinery,2,21.93,14.4
TXN-100035,02/01/2025 11:00,North,Home Appliances,9,380.93,47.64
TXN-100036,02/01/2025 12:00,West,Electronics,10,238.61,44.7
TXN-100037,02/01/2025 13:00,North,Home Appliances,17,75.97,16
TXN-100038,02/01/2025 14:00,North,Office Supplies,17,118.47,9.3
TXN-100039,02/01/2025 15:00,East,Office Supplies,3,210.15,24.83
TXN-100040,02/01/2025 16:00,East,Home Appliances,19,97.56,35.44
TXN-100041,02/01/2025 17:00,East,Home Appliances,1,132.21,12.89
TXN-100042,02/01/2025 18:00,South,Home Appliances,12,247.69,28.09
TXN-100043,02/01/2025 19:00,West,Industrial Machinery,7,377.27,24.14
TXN-100044,02/01/2025 20:00,West,Home Appliances,4,190.1,45.07
TXN-100045,02/01/2025 21:00,West,Electronics,10,327.03,24.33
TXN-100046,02/01/2025 22:00,West,Industrial Machinery,13,396.42,29.02
TXN-100047,02/01/2025 23:00,East,Industrial Machinery,2,109.48,47.99
TXN-100048,03/01/2025 00:00,South,Home Appliances,10,366.22,18.49
TXN-100049,03/01/2025 01:00,South,Electronics,4,344.59,18
TXN-100050,03/01/2025 02:00,East,Industrial Machinery,18,170.59,40.98
TXN-100051,03/01/2025 03:00,South,Office Supplies,5,445.45,17.49
TXN-100052,03/01/2025 04:00,East,Industrial Machinery,19,129.59,42.43
TXN-100053,03/01/2025 05:00,West,Home Appliances,2,126.21,9.3
TXN-100054,03/01/2025 06:00,East,Electronics,12,351.05,10.01
TXN-100055,03/01/2025 07:00,West,Home Appliances,17,204.36,45.56
TXN-100056,03/01/2025 08:00,West,Office Supplies,10,159.23,29.34
TXN-100057,03/01/2025 09:00,North,Office Supplies,2,93.13,37.35
TXN-100058,03/01/2025 10:00,East,Office Supplies,6,348.04,15.14
TXN-100059,03/01/2025 11:00,North,Home Appliances,8,357.16,12.48
TXN-100060,03/01/2025 12:00,East,Industrial Machinery,19,261.67,42.57
TXN-100061,03/01/2025 13:00,East,Home Appliances,11,431.45,21.14
TXN-100062,03/01/2025 14:00,North,Electronics,12,153.74,25.48
TXN-100063,03/01/2025 15:00,North,Industrial Machinery,9,110.92,6.26
TXN-100064,03/01/2025 16:00,East,Office Supplies,2,309.86,22.36
TXN-100065,03/01/2025 17:00,South,Home Appliances,8,345.03,39.67
TXN-100066,03/01/2025 18:00,West,Office Supplies,11,113.22,41.96
TXN-100067,03/01/2025 19:00,North,Office Supplies,4,48.79,36.44
TXN-100068,03/01/2025 20:00,West,Electronics,10,367.67,36.15
TXN-100069,03/01/2025 21:00,South,Industrial Machinery,16,439.79,27.78
TXN-100070,03/01/2025 22:00,South,Electronics,8,295.61,29.22
TXN-100071,03/01/2025 23:00,South,Electronics,4,136.23,38.42
TXN-100072,04/01/2025 00:00,North,Electronics,10,448.55,16.13
TXN-100073,04/01/2025 01:00,South,Office Supplies,12,403.62,15.42
TXN-100074,04/01/2025 02:00,North,Electronics,14,238.56,47.75
TXN-100075,04/01/2025 03:00,South,Electronics,16,374.1,6.25
TXN-100076,04/01/2025 04:00,West,Industrial Machinery,18,369.97,11.28
TXN-100077,04/01/2025 05:00,West,Industrial Machinery,12,421.67,30.66
TXN-100078,04/01/2025 06:00,East,Electronics,18,380.88,38.2
TXN-100079,04/01/2025 07:00,West,Industrial Machinery,7,295.18,29.21
TXN-100080,04/01/2025 08:00,East,Industrial Machinery,7,280.24,20.98
TXN-100081,04/01/2025 09:00,West,Electronics,9,218.57,49.01
TXN-100082,04/01/2025 10:00,North,Office Supplies,1,287.71,36.67
TXN-100083,04/01/2025 11:00,West,Electronics,6,361.02,42.41
TXN-100084,04/01/2025 12:00,East,Industrial Machinery,6,436.55,6.81
TXN-100085,04/01/2025 13:00,East,Office Supplies,12,218.54,15.62
TXN-100086,04/01/2025 14:00,South,Home Appliances,12,264.75,21.84
TXN-100087,04/01/2025 15:00,North,Office Supplies,10,208.77,13.22
TXN-100088,04/01/2025 16:00,West,Industrial Machinery,6,305.96,8.28
TXN-100089,04/01/2025 17:00,South,Office Supplies,17,289.2,15.13
TXN-100090,04/01/2025 18:00,West,Electronics,19,23.25,29.01
TXN-100091,04/01/2025 19:00,West,Home Appliances,18,250.63,36.31
TXN-100092,04/01/2025 20:00,South,Home Appliances,6,53.95,39.83
TXN-100093,04/01/2025 21:00,South,Home Appliances,19,26.96,6.93
TXN-100094,04/01/2025 22:00,South,Industrial Machinery,10,359.28,24.26
TXN-100095,04/01/2025 23:00,South,Industrial Machinery,8,127.88,10.5
TXN-100096,05/01/2025 00:00,South,Home Appliances,6,163.51,24.4
TXN-100097,05/01/2025 01:00,West,Office Supplies,7,43.34,24.53
TXN-100098,05/01/2025 02:00,South,Home Appliances,1,93.49,27.42
TXN-100099,05/01/2025 03:00,North,Office Supplies,18,348.16,45.18
TXN-100100,05/01/2025 04:00,East,Office Supplies,12,229.94,41.23
TXN-100101,05/01/2025 05:00,South,Industrial Machinery,16,398.15,33.65
TXN-100102,05/01/2025 06:00,South,Office Supplies,10,188.1,44.84
TXN-100103,05/01/2025 07:00,West,Home Appliances,10,132.25,35.53
TXN-100104,05/01/2025 08:00,South,Industrial Machinery,14,166.53,41.85
TXN-100105,05/01/2025 09:00,South,Electronics,10,325.2,30.37
TXN-100106,05/01/2025 10:00,South,Electronics,10,256.65,28.63
TXN-100107,05/01/2025 11:00,West,Industrial Machinery,11,408.37,37.58
TXN-100108,05/01/2025 12:00,South,Home Appliances,2,277.14,5.89
TXN-100109,05/01/2025 13:00,East,Electronics,8,229.72,36.07
TXN-100110,05/01/2025 14:00,West,Electronics,7,356.91,47.05
TXN-100111,05/01/2025 15:00,East,Office Supplies,8,427.2,37.13
TXN-100112,05/01/2025 16:00,West,Office Supplies,1,170.12,6.66
TXN-100113,05/01/2025 17:00,South,Home Appliances,2,124.07,22
TXN-100114,05/01/2025 18:00,East,Industrial Machinery,18,283.25,41.43
TXN-100115,05/01/2025 19:00,West,Home Appliances,15,232.26,48.14
TXN-100116,05/01/2025 20:00,North,Industrial Machinery,1,445.3,21.66
TXN-100117,05/01/2025 21:00,South,Electronics,5,216.4,42.85
TXN-100118,05/01/2025 22:00,West,Office Supplies,2,47.8,43.87
TXN-100119,05/01/2025 23:00,North,Home Appliances,3,440.17,10.55
TXN-100120,06/01/2025 00:00,West,Home Appliances,19,382.04,43.06
TXN-100121,06/01/2025 01:00,North,Industrial Machinery,18,92.95,19.59
TXN-100122,06/01/2025 02:00,South,Industrial Machinery,18,408.55,31.7
TXN-100123,06/01/2025 03:00,East,Home Appliances,14,163.52,29.25
TXN-100124,06/01/2025 04:00,North,Industrial Machinery,8,179.36,34.84
TXN-100125,06/01/2025 05:00,West,Home Appliances,12,409.33,38.32
TXN-100126,06/01/2025 06:00,South,Home Appliances,10,245.84,24.84
TXN-100127,06/01/2025 07:00,North,Home Appliances,17,75.36,44.97
TXN-100128,06/01/2025 08:00,West,Electronics,11,175.85,41.43
TXN-100129,06/01/2025 09:00,West,Industrial Machinery,2,329.25,40.34
TXN-100130,06/01/2025 10:00,West,Office Supplies,4,91.18,25.62
TXN-100131,06/01/2025 11:00,North,Office Supplies,1,271.96,6.69
TXN-100132,06/01/2025 12:00,North,Industrial Machinery,15,317.6,27.15
TXN-100133,06/01/2025 13:00,North,Home Appliances,13,164.9,45.43
TXN-100134,06/01/2025 14:00,East,Office Supplies,8,316.99,13.57
